"","graph","type","node","measure","value"
"1","graph 1",NA,"BSMAS_1","Betweenness",-0.80070485434383
"2","graph 1",NA,"BSMAS_2","Betweenness",-0.552210244375055
"3","graph 1",NA,"BSMAS_3","Betweenness",1.93273585531269
"4","graph 1",NA,"BSMAS_4","Betweenness",-0.80070485434383
"5","graph 1",NA,"BSMAS_5","Betweenness",0.193273585531269
"6","graph 1",NA,"BSMAS_6","Betweenness",-0.80070485434383
"7","graph 1",NA,"Depression1","Betweenness",0.690262805468819
"8","graph 1",NA,"Anxiety_1","Betweenness",-0.80070485434383
"9","graph 1",NA,"Stress1","Betweenness",0.938757415437593
"10","graph 1",NA,"BSMAS_1","Closeness",-0.123704871033305
"11","graph 1",NA,"BSMAS_2","Closeness",0.523862545706417
"12","graph 1",NA,"BSMAS_3","Closeness",1.93334859801599
"13","graph 1",NA,"BSMAS_4","Closeness",-0.0275601043324876
"14","graph 1",NA,"BSMAS_5","Closeness",0.93928978367446
"15","graph 1",NA,"BSMAS_6","Closeness",-0.50932900262206
"16","graph 1",NA,"Depression1","Closeness",-0.615131935634814
"17","graph 1",NA,"Anxiety_1","Closeness",-1.37878727046893
"18","graph 1",NA,"Stress1","Closeness",-0.741987743305265
"19","graph 1",NA,"BSMAS_1","Strength",-0.494868376740336
"20","graph 1",NA,"BSMAS_2","Strength",0.951333877990213
"21","graph 1",NA,"BSMAS_3","Strength",0.555268640983134
"22","graph 1",NA,"BSMAS_4","Strength",-0.961844620713166
"23","graph 1",NA,"BSMAS_5","Strength",0.880574905089236
"24","graph 1",NA,"BSMAS_6","Strength",-1.18123045242717
"25","graph 1",NA,"Depression1","Strength",-1.13617127455907
"26","graph 1",NA,"Anxiety_1","Strength",-0.0789303905605192
"27","graph 1",NA,"Stress1","Strength",1.46586769093767
"28","graph 1",NA,"BSMAS_1","ExpectedInfluence",-0.265724748273588
"29","graph 1",NA,"BSMAS_2","ExpectedInfluence",1.04467475867838
"30","graph 1",NA,"BSMAS_3","ExpectedInfluence",0.685801240401653
"31","graph 1",NA,"BSMAS_4","ExpectedInfluence",-0.688850516373218
"32","graph 1",NA,"BSMAS_5","ExpectedInfluence",0.158527278552073
"33","graph 1",NA,"BSMAS_6","ExpectedInfluence",-0.887635357684258
"34","graph 1",NA,"Depression1","ExpectedInfluence",-1.66884036025084
"35","graph 1",NA,"Anxiety_1","ExpectedInfluence",0.11115540817049
"36","graph 1",NA,"Stress1","ExpectedInfluence",1.5108922967793
