"","BSMAS_1","BSMAS_2","BSMAS_3","BSMAS_4","BSMAS_5","BSMAS_6","Depression1","Anxiety_1","Stress1"
"BSMAS_1",0,0.438237819395356,0.193917480221819,0.0556406579220052,0.0580399853391753,0.0981533200301059,0,0,0
"BSMAS_2",0.438237819395356,0,0.254212729410489,0.0581241697006144,0.128890209836511,0.101438487156935,0,0.047646460545184,0.00285786106700621
"BSMAS_3",0.193917480221819,0.254212729410489,0,0.166602102993735,0.165492921600706,0.0561086422986633,0.0969912475084619,0.0467551157228823,0
"BSMAS_4",0.0556406579220052,0.0581241697006144,0.166602102993735,0,0.259508962884528,0.188353526050522,0,0.0168762652478414,0.0383664721176762
"BSMAS_5",0.0580399853391753,0.128890209836511,0.165492921600706,0.259508962884528,0,0.241771023419267,-0.0587851901355632,0.0396158456004711,0.0701336922927973
"BSMAS_6",0.0981533200301059,0.101438487156935,0.0561086422986633,0.188353526050522,0.241771023419267,0,0,0.0139212154205732,0.0552949553070578
"Depression1",0,0,0.0969912475084619,0,-0.0587851901355632,0,0,0.203373166033713,0.401730944513674
"Anxiety_1",0,0.047646460545184,0.0467551157228823,0.0168762652478414,0.0396158456004711,0.0139212154205732,0.203373166033713,0,0.52970407166921
"Stress1",0,0.00285786106700621,0,0.0383664721176762,0.0701336922927973,0.0552949553070578,0.401730944513674,0.52970407166921,0
